ID,Name,Longitude,Latitude,Altitude,Type
1808,Bohinjska Češnjica,13.94222798374623,46.294228479551414,596,2
1761,Slovenske Konjice,15.421597927413696,46.343215896233026,330,2
2478,Polički Vrh,15.695777488457473,46.640445990877474,280,2
3316,Vogel,13.84065081073205,46.26388678125561,1530,2
3308,Maribor Vrbanski plato,15.626033442569447,46.56777793286567,279,2
2849,Bizeljsko,15.691291582948041,46.0159383040035,175,2
1900,Lisca,15.284895206228278,46.06777062387381,947,3
1694,Kočevje,14.85013473943114,45.64596690539311,467,2
2508,Grosuplje,14.651198937756039,45.959964137367386,350,2
1896,Portorož - letališče,13.616035368367077,45.475342112134385,2,3
2482,Celje Medlog,15.22586974902397,46.236579629577584,242,3
2214,Babno Polje,14.544895923534867,45.64518171445834,755,2
1669,Godnje,13.84390506261774,45.75495966282086,320,2
2253,Cerklje - letališče,15.528697836462136,45.89425846499566,154,3
1890,Kredarica,13.848899669767079,46.378703770120936,2513,3
1086,Rateče,13.712896114352766,46.4970891735494,864,2
1899,Rateče,13.712896114352766,46.4970891735494,864,3
1654,Vojsko (Idrija),13.902072455023472,46.025381526932215,1065,2
1923,Bilje,13.623984301016481,45.8955597030988,55,3
1922,Postojna,14.193174033768292,45.76605272819711,533,2
1700,Topol pri Medvodah,14.37038990142767,46.09306666983828,662,2
1895,Ljubljana Bežigrad,14.5123590017194,46.0655056158452,299,3
1735,Črnomelj - Dobliče,15.146185815940287,45.55997841674866,157,2
1786,Lendava,16.472355263560964,46.55686099481639,190,2
3049,Letališče Jožeta Pučnika Ljubljana,14.47844228889051,46.211377646731776,362,3
1726,Malkovec,15.204891602533344,45.953114388333944,397,2
1893,Novo mesto,15.17726342749599,45.801815769654624,220,3
2375,METLIKA,15.32380421260626,45.6464444235903,152,2
1902,Maribor - letališče,15.68178979397476,46.47966612734431,264,3
1894,Murska Sobota,16.191280639432826,46.652077673714544,187,3
1897,Šmartno pri Slovenj Gradcu,15.1112254237232,46.48956189022154,444,3
